,open,high,low,close,volume,value,middleBand,upperBand,sellingPrice,prevHigh,prevMiddle,prevClose,prevSellingPrice,isBuying,isSelling,ror
2024-03-22 16:31:00,14990.0,15010.0,14970.0,14970.0,1109.77696949,16629654.6380089,14949.0,15008.78910303814,15002.810192734325,15000.0,14948.0,15000.0,15001.07631050518,False,True,1.0
2024-03-22 16:32:00,14980.0,15000.0,14970.0,14980.0,2128.4669528,31870404.4496785,14951.0,15012.181352508234,15006.063217257411,15010.0,14949.0,14970.0,15002.810192734325,False,False,1.0
2024-03-22 16:33:00,14980.0,15000.0,14970.0,15000.0,1820.6607442,27270770.9259939,14954.0,15018.693609869095,15012.224248882185,15000.0,14951.0,14980.0,15006.063217257411,False,False,1.0
2024-03-22 16:34:00,14990.0,15000.0,14980.0,15000.0,1142.97964079,17129621.4500515,14954.0,15018.693609869095,15012.224248882185,15000.0,14954.0,15000.0,15012.224248882185,False,False,1.0
2024-03-22 16:35:00,15000.0,15020.0,14990.0,15020.0,797.22323831,11962821.2554054,14955.5,15024.926219830837,15017.983597847753,15000.0,14954.0,15000.0,15012.224248882185,False,True,1.0
2024-03-22 16:36:00,15020.0,15020.0,14980.0,15020.0,1565.7950639,23480890.0847525,14958.5,15033.690984901956,15026.171886411761,15020.0,14955.5,15020.0,15017.983597847753,False,True,1.0
2024-03-22 16:37:00,15020.0,15020.0,14990.0,15010.0,1639.33284265,24610443.8312991,14961.5,15039.978961310791,15032.131065179712,15020.0,14958.5,15020.0,15026.171886411761,False,False,1.0
2024-03-22 16:38:00,15010.0,15010.0,14990.0,15010.0,960.51166848,14405276.7460062,14964.0,15045.408650775285,15037.267785697757,15020.0,14961.5,15010.0,15032.131065179712,False,False,1.0
2024-03-22 16:39:00,15010.0,15010.0,15000.0,15010.0,165.46367817,2483341.235119,14967.5,15050.566238629179,15042.25961476626,15010.0,14964.0,15010.0,15037.267785697757,False,False,1.0
2024-03-22 16:40:00,15010.0,15070.0,15000.0,15050.0,1637.85749227,24652543.7531367,14973.5,15062.29900426184,15053.419103835657,15010.0,14967.5,15010.0,15042.25961476626,False,True,1.0
2024-03-22 16:41:00,15050.0,15080.0,15030.0,15050.0,2585.84801758,38912076.2528175,14981.5,15067.406926379655,15058.81623374169,15070.0,14973.5,15050.0,15053.419103835657,False,True,1.0
2024-03-22 16:42:00,15050.0,15050.0,15020.0,15020.0,529.00707672,7947922.0227648,14987.5,15065.871584539023,15058.034426085122,15080.0,14981.5,15050.0,15058.81623374169,False,False,1.0
2024-03-22 16:43:00,15010.0,15020.0,15010.0,15010.0,934.29451487,14023773.9864407,14992.5,15062.349462191347,15055.364515972213,15050.0,14987.5,15020.0,15058.034426085122,False,False,1.0
2024-03-22 16:44:00,15000.0,15010.0,14990.0,15010.0,1666.77738472,24999414.0980379,14997.0,15058.250134264077,15052.125120837669,15020.0,14992.5,15010.0,15055.364515972213,False,False,1.0
2024-03-22 16:45:00,15000.0,15040.0,15000.0,15040.0,567.13019688,8507598.2610649,15001.5,15061.42100062406,15055.428900561654,15010.0,14997.0,15010.0,15052.125120837669,False,False,1.0
2024-03-22 16:46:00,15030.0,15030.0,15000.0,15020.0,437.01431109,6560265.9754022,15004.5,15061.614842757,15055.9033584813,15040.0,15001.5,15040.0,15055.428900561654,False,False,1.0
2024-03-22 16:47:00,15030.0,15040.0,15010.0,15020.0,514.92916999,7738707.8147938,15008.0,15059.339940335796,15054.205946302216,15030.0,15004.5,15020.0,15055.9033584813,False,False,1.0
2024-03-22 16:48:00,15020.0,15040.0,14990.0,15020.0,1825.29814623,27395849.268834,15010.5,15058.830005935062,15053.997005341556,15040.0,15008.0,15020.0,15054.205946302216,False,False,1.0
2024-03-22 16:49:00,15020.0,15040.0,15000.0,15000.0,809.38643306,12143425.0633343,15013.0,15052.523477366709,15048.571129630038,15040.0,15010.5,15020.0,15053.997005341556,False,False,1.0
2024-03-22 16:50:00,15000.0,15030.0,14990.0,15020.0,2395.48968386,35937638.0813102,15014.0,15053.148838794354,15049.233954914918,15040.0,15013.0,15000.0,15048.571129630038,False,False,1.0
2024-03-22 16:51:00,15000.0,15020.0,14990.0,14990.0,2563.35185481,38444897.5712634,15015.0,15050.243513774265,15046.71916239684,15030.0,15014.0,15020.0,15049.233954914918,False,False,1.0
2024-03-22 16:52:00,14990.0,15010.0,14990.0,15010.0,690.46789789,10352428.9639362,15016.5,15047.804951684979,15044.67445651648,15020.0,15015.0,14990.0,15046.71916239684,False,False,1.0
2024-03-22 16:53:00,14990.0,15020.0,14990.0,15010.0,2638.94745982,39588695.2214921,15017.0,15047.504529430698,15044.45407648763,15010.0,15016.5,15010.0,15044.67445651648,True,False,1.0
2024-03-22 16:54:00,15010.0,15020.0,14990.0,14990.0,2110.1891416,31641916.8573937,15016.5,15048.47038102927,15045.273342926343,15020.0,15017.0,15010.0,15044.45407648763,False,False,1.0
2024-03-22 16:55:00,14980.0,15010.0,14970.0,14980.0,3657.29024135,54773610.133187,15014.5,15050.321193373975,15046.739074036577,15020.0,15016.5,14990.0,15045.273342926343,False,False,1.0
2024-03-22 16:56:00,14980.0,14980.0,14970.0,14970.0,976.42436523,14626723.3871017,15012.0,15052.83342284271,15048.750080558439,15010.0,15014.5,14980.0,15046.739074036577,False,False,1.0
2024-03-22 16:57:00,14970.0,15000.0,14970.0,15000.0,1850.27048007,27700523.5890817,15011.5,15052.679964469182,15048.561968022264,14980.0,15012.0,14970.0,15048.750080558439,False,False,1.0
2024-03-22 16:58:00,14980.0,15000.0,14980.0,15000.0,625.60660368,9379077.9403402,15011.0,15052.498256145973,15048.348430531376,15000.0,15011.5,15000.0,15048.561968022264,False,False,1.0
2024-03-22 16:59:00,15000.0,15010.0,15000.0,15010.0,586.39134752,8800327.1233228,15011.0,15052.498256145973,15048.348430531376,15000.0,15011.0,15000.0,15048.348430531376,False,False,1.0
